time,hs_activations,rapl_delta
39.020177657,433794,638609
39.105374277,433795,646605
39.190571421,433794,638853
39.275766997,433793,638792
39.360965161,433794,638915
39.446161112,433793,646666
39.531358416,433792,638731
39.616555391,433790,638731
39.701752263,433789,638914
39.78695108,433787,638671
39.872146452,433784,646605
39.957343632,433781,638792
40.042540709,433784,638792
40.127736022,433787,638976
40.212935907,433784,638792
40.298129827,433781,646666
40.383327373,433784,638792
40.468524,433781,638792
40.553721053,433783,638793
40.638918435,433785,638975
40.724115201,433784,646544
40.809311964,433781,638731
40.894508886,433783,638792
40.979706342,433785,638671
41.064903236,433784,638792
41.150099157,433785,638853
41.23529679,433787,646605
41.320492968,433785,638731
41.405689788,433786,638793
41.490886892,433785,638853
41.576085097,433784,646605
41.661281529,433785,638853
41.746478257,433784,638976
41.83167542,433785,638792
41.916871989,433786,638853
42.002068742,433785,646605
42.087266279,433786,638792
42.172462185,433788,638793
42.2576594,433789,638792
42.342856078,433788,638670
42.428053033,433786,638792
42.513250118,433785,646605
42.598447124,433783,638793
42.683644235,433784,638792
42.768841665,433783,638914
42.854038144,433784,638609
42.939235273,433786,638671
43.024432592,433784,646604
43.1096284,433785,638854
43.194825108,433784,638670
43.280022121,433783,638853
43.365219192,433782,646727
43.450416409,433783,638793
43.535613272,433782,638853
43.620810168,433783,638609
43.706007601,433784,638731
43.791204588,433783,646666
43.876401077,433784,638854
43.961598987,433785,638731
44.046795429,433784,638914
44.131991216,433783,638793
44.217188114,433784,646787
44.302385726,433783,638854
44.387582369,433782,638609
44.472779268,433783,638853
44.557976648,433782,638732
44.643175337,433783,646421
44.728370045,433782,638915
44.813567098,433781,638670
44.898763197,433779,638792
44.983960458,433781,638548
45.06915801,433782,646666
45.154354298,433784,638915
45.239550805,433786,638792
45.324747805,433784,638609
45.409945605,433785,638731
45.495142585,433787,638793
45.580339949,433789,646482
45.665536532,433792,638915
45.750732242,433795,638670
45.835929025,433792,638792
45.921126457,433789,646605
46.00632315,433792,638792
46.091520104,433790,638915
46.176717081,433791,638548
46.261914541,433793,638731
46.347111616,433792,646544
46.432308285,433790,638792
46.517505122,433791,638793
46.602701088,433790,638670
46.687898085,433788,638914
46.773094985,433790,646544
46.85829204,433788,638853
46.943489442,433789,638488
47.028685839,433791,638731
47.113882955,433790,638792
47.199080483,433788,646544
47.284277176,433789,638670
47.369474272,433788,638792
47.454670984,433789,638732
47.539867519,433791,638853
47.625064384,433790,638731
47.710261666,433788,646361
47.79545839,433789,638975
47.880655222,433791,638671
47.965852105,433792,638792
48.051049385,433794,638731
48.136246565,433792,646666
48.221443062,433794,638731
48.306639902,433795,638793
48.391838558,433794,638670
48.477034246,433795,638487
48.562230735,433796,646727
48.647427364,433795,638853
48.732624081,433794,638548
48.817821308,433795,638915
48.903018263,433796,638609
48.988215092,433797,646605
49.073412486,433799,638792
49.158609218,433801,638853
49.243806275,433804,638671
49.32900287,433807,638853
49.414199392,433804,646605
49.499397105,433801,638670
49.584594126,433804,638914
49.669790354,433807,638549
49.754987336,433804,638731
49.840185848,433806,638914
49.925381589,433805,646666
50.010577897,433803,638487
50.095775211,433804,638854
50.180972215,433803,638792
50.266169218,433804,638670
50.351366143,433805,646666
50.436562237,433804,638792
50.521759224,433805,638793
50.606958155,433806,638670
50.692153758,433808,646666
50.777350041,433810,638731
50.862546854,433812,638731
50.947743807,433810,638853
51.03294136,433808,638854
51.11813823,433810,646544
