base_index,flip_index,start_time,end_time,flip,flip_value
459953,459961,1644174798467670945,1644174798495723672,0,18446744073709551615
459953,459961,1644174798495759097,1644174798523855867,0,18446744073709551615
459953,459961,1644174798523891480,1644174798551984813,0,18446744073709551615
459953,459961,1644174798552020082,1644174798580099476,0,18446744073709551615
459953,459961,1644174798580134592,1644174798608165483,0,18446744073709551615
459953,459961,1644174798608199265,1644174798636349503,0,18446744073709551615
459953,459961,1644174798636385377,1644174798664499157,1,18446742974197923839
459953,459961,1644174798664651053,1644174798692760102,0,18446744073709551615
459953,459961,1644174798692800371,1644174798720889480,0,18446744073709551615
459953,459961,1644174798720925274,1644174798748974816,1,18446742974197923839
459953,459961,1644174798749017402,1644174798777087842,0,18446744073709551615
459953,459961,1644174798777124736,1644174798805182128,0,18446744073709551615
459953,459961,1644174798805216663,1644174798833360061,0,18446744073709551615
459953,459961,1644174798833395890,1644174798861457028,0,18446744073709551615
459953,459961,1644174798861492140,1644174798889561816,0,18446744073709551615
459953,459961,1644174798889597417,1644174798917833661,0,18446744073709551615
459953,459961,1644174798917869803,1644174798946030399,0,18446744073709551615
459953,459961,1644174798946068450,1644174798974144109,0,18446744073709551615
459953,459961,1644174798974180428,1644174799002242548,1,18446742974197923839
459953,459961,1644174799002393356,1644174799030459310,1,18446742974197923839
459953,459961,1644174799030499672,1644174799058589713,1,18446742974197923839
459953,459961,1644174799058628292,1644174799086689778,1,18446742974197923839
459953,459961,1644174799086726270,1644174799114770952,0,18446744073709551615
459953,459961,1644174799114806473,1644174799142907390,0,18446744073709551615
459953,459961,1644174799142944276,1644174799171039400,0,18446744073709551615
459953,459961,1644174799171075420,1644174799199196334,0,18446744073709551615
459953,459961,1644174799199232037,1644174799227294960,0,18446744073709551615
459953,459961,1644174799227330269,1644174799255419575,0,18446744073709551615
459953,459961,1644174799255455018,1644174799283534384,0,18446744073709551615
459953,459961,1644174799283569687,1644174799311670353,0,18446744073709551615
459953,459961,1644174799311704966,1644174799339767418,0,18446744073709551615
459953,459961,1644174799339802353,1644174799367885526,1,18446742974197923839
459953,459961,1644174799368035122,1644174799396195842,1,18446742974197923839
459953,459961,1644174799396236158,1644174799424465247,1,18446742974197923839
459953,459961,1644174799424501765,1644174799452713597,0,18446744073709551615
459953,459961,1644174799452750064,1644174799480864703,1,18446742974197923839
459953,459961,1644174799481014385,1644174799509149422,0,18446744073709551615
459953,459961,1644174799509188014,1644174799537252000,0,18446744073709551615
459953,459961,1644174799537288897,1644174799565364942,0,18446744073709551615
459953,459961,1644174799565401161,1644174799593464229,0,18446744073709551615
459953,459961,1644174799593499902,1644174799621564822,0,18446744073709551615
459953,459961,1644174799621599559,1644174799649713261,0,18446744073709551615
459953,459961,1644174799649748713,1644174799677850885,0,18446744073709551615
459953,459961,1644174799677886847,1644174799705942322,1,18446742974197923839
459953,459961,1644174799705977993,1644174799734068733,0,18446744073709551615
459953,459961,1644174799734104348,1644174799762155326,1,18446742974197923839
459953,459961,1644174799762332824,1644174799790409251,1,18446742974197923839
459953,459961,1644174799790450278,1644174799818515879,0,18446744073709551615
459953,459961,1644174799818553030,1644174799846724514,1,18446742974197923839
459953,459961,1644174799846761446,1644174799874891660,0,18446744073709551615
459953,459961,1644174799874926708,1644174799902984816,0,18446744073709551615
459953,459961,1644174799903019423,1644174799931137702,0,18446744073709551615
459953,459961,1644174799931174076,1644174799959368492,0,18446744073709551615
459953,459961,1644174799959404806,1644174799987462761,0,18446744073709551615
459953,459961,1644174799987498388,1644174800015544487,0,18446744073709551615
459953,459961,1644174800015578960,1644174800043672186,0,18446744073709551615
459953,459961,1644174800043707855,1644174800072015354,1,18446742974197923839
459953,459961,1644174800072169149,1644174800100278890,1,18446742974197923839
459953,459961,1644174800100319625,1644174800128375413,1,18446742974197923839
459953,459961,1644174800128412525,1644174800156564511,0,18446744073709551615
459953,459961,1644174800156601313,1644174800184662139,0,18446744073709551615
459953,459961,1644174800184697799,1644174800212770236,0,18446744073709551615
459953,459961,1644174800212804615,1644174800240843940,0,18446744073709551615
459953,459961,1644174800240884111,1644174800269005122,0,18446744073709551615
459953,459961,1644174800269042044,1644174800297098340,0,18446744073709551615
459953,459961,1644174800297134330,1644174800325226979,0,18446744073709551615
459953,459961,1644174800325261181,1644174800353390040,0,18446744073709551615
459953,459961,1644174800353424976,1644174800381510070,0,18446744073709551615
459953,459961,1644174800381545844,1644174800409636284,0,18446744073709551615
459953,459961,1644174800409670491,1644174800437797125,0,18446744073709551615
459953,459961,1644174800437832322,1644174800465880672,1,18446742974197923839
459953,459961,1644174800466029968,1644174800494106002,0,18446744073709551615
459953,459961,1644174800494146339,1644174800522203354,1,18446742974197923839
459953,459961,1644174800522239697,1644174800550300273,0,18446744073709551615
459953,459961,1644174800550336619,1644174800578464569,0,18446744073709551615
459953,459961,1644174800578501486,1644174800606593711,0,18446744073709551615
459953,459961,1644174800606628091,1644174800634688304,0,18446744073709551615
459953,459961,1644174800634723430,1644174800662843596,0,18446744073709551615
459953,459961,1644174800662877799,1644174800690938034,0,18446744073709551615
459953,459961,1644174800690973688,1644174800719035083,0,18446744073709551615
459953,459961,1644174800719070324,1644174800747122373,0,18446744073709551615
459953,459961,1644174800747158564,1644174800775218372,0,18446744073709551615
459953,459961,1644174800775253336,1644174800803351191,1,18446742974197923839
459953,459961,1644174800803502271,1644174800831572304,1,18446742974197923839
459953,459961,1644174800831612554,1644174800859737401,1,18446742974197923839
459953,459961,1644174800859775097,1644174800887875115,1,18446742974197923839
459953,459961,1644174800887912900,1644174800915989179,1,18446742974197923839
459953,459961,1644174800916140147,1644174800944251267,0,18446744073709551615
459953,459961,1644174800944291188,1644174800972386526,0,18446744073709551615
459953,459961,1644174800972422101,1644174801000492394,0,18446744073709551615
459953,459961,1644174801000529284,1644174801028639453,0,18446744073709551615
459953,459961,1644174801028675730,1644174801056741106,0,18446744073709551615
459953,459961,1644174801056776171,1644174801084928295,0,18446744073709551615
459953,459961,1644174801084964647,1644174801113068054,0,18446744073709551615
459953,459961,1644174801113103498,1644174801141171518,0,18446744073709551615
459953,459961,1644174801141207019,1644174801169270694,0,18446744073709551615
459953,459961,1644174801169306248,1644174801197357461,1,18446742974197923839
459953,459961,1644174801197394683,1644174801225487337,1,18446742974197923839
459953,459961,1644174801225638050,1644174801253716025,0,18446744073709551615
459953,459961,1644174801253755267,1644174801281805066,0,18446744073709551615
459953,459961,1644174801281841572,1644174801309931691,0,18446744073709551615
459953,459961,1644174801309983942,1644174801338105593,0,18446744073709551615
459953,459961,1644174801338141840,1644174801366232282,0,18446744073709551615
459953,459961,1644174801366266537,1644174801394335302,0,18446744073709551615
459953,459961,1644174801394371342,1644174801422602630,0,18446744073709551615
459953,459961,1644174801422644548,1644174801450771336,0,18446744073709551615
459953,459961,1644174801450809374,1644174801478887099,0,18446744073709551615
459953,459961,1644174801478923437,1644174801506959208,1,18446742974197923839
459953,459961,1644174801506996568,1644174801535150603,0,18446744073709551615
459953,459961,1644174801535186494,1644174801563329210,1,18446742974197923839
459953,459961,1644174801563481675,1644174801591557979,1,18446742974197923839
459953,459961,1644174801591598967,1644174801619727981,0,18446744073709551615
459953,459961,1644174801619764853,1644174801647819584,0,18446744073709551615
459953,459961,1644174801647854673,1644174801675951935,0,18446744073709551615
459953,459961,1644174801675988089,1644174801704083476,0,18446744073709551615
459953,459961,1644174801704123987,1644174801732210001,0,18446744073709551615
459953,459961,1644174801732246288,1644174801760424356,0,18446744073709551615
459953,459961,1644174801760458933,1644174801788564060,0,18446744073709551615
459953,459961,1644174801788599135,1644174801816663900,0,18446744073709551615
459953,459961,1644174801816699922,1644174801844756548,0,18446744073709551615
459953,459961,1644174801844792456,1644174801872961066,1,18446742974197923839
459953,459961,1644174801873116551,1644174801901410013,0,18446744073709551615
459953,459961,1644174801901455475,1644174801929581538,1,18446742974197923839
459953,459961,1644174801929620863,1644174801957793772,1,18446742974197923839
459953,459961,1644174801957830180,1644174801985932565,0,18446744073709551615
459953,459961,1644174801985969443,1644174802014114866,1,18446742974197923839
459953,459961,1644174802014267816,1644174802042409023,0,18446744073709551615
459953,459961,1644174802042449119,1644174802070546621,0,18446744073709551615
459953,459961,1644174802070583761,1644174802098691695,0,18446744073709551615
459953,459961,1644174802098726711,1644174802126794692,0,18446744073709551615
459953,459961,1644174802126831494,1644174802154924844,0,18446744073709551615
459953,459961,1644174802154960711,1644174802183023954,0,18446744073709551615
459953,459961,1644174802183059472,1644174802211137835,0,18446744073709551615
459953,459961,1644174802211173055,1644174802239279482,1,18446742974197923839
459953,459961,1644174802239316313,1644174802267443478,0,18446744073709551615
459953,459961,1644174802267479746,1644174802295582138,0,18446744073709551615
459953,459961,1644174802295616958,1644174802323656038,1,18446742974197923839
459953,459961,1644174802323808959,1644174802351995389,0,18446744073709551615
459953,459961,1644174802352035493,1644174802380117982,0,18446744073709551615
459953,459961,1644174802380155319,1644174802408218420,0,18446744073709551615
459953,459961,1644174802408254164,1644174802436385317,0,18446744073709551615
459953,459961,1644174802436421658,1644174802464475148,0,18446744073709551615
459953,459961,1644174802464509340,1644174802492582622,0,18446744073709551615
459953,459961,1644174802492618718,1644174802520713151,0,18446744073709551615
459953,459961,1644174802520749733,1644174802548828607,0,18446744073709551615
459953,459961,1644174802548863551,1644174802576960547,0,18446744073709551615
459953,459961,1644174802576996291,1644174802605058167,0,18446744073709551615
459953,459961,1644174802605092831,1644174802633158082,1,18446742974197923839
459953,459961,1644174802633195379,1644174802661282717,0,18446744073709551615
